family_id,school,canon,lane_weight,initial_canon_weight
FAM-001,tiaohou_ditiansui,DITIANSUI,0.5,0.2
FAM-001,tiaohou_ditiansui,DITIANSUI_CHANWEI,0.5,0.2
FAM-001,ziping,QIONGTONG_BAOJIAN,0.5,0.2
FAM-001,ziping,SANMING_TONGHUI,0.5,0.2
FAM-001,ziping,ZIPING_ZHENQUAN,0.5,0.2
FAM-002,tiaohou_ditiansui,DITIANSUI,0.5,0.2
FAM-002,tiaohou_ditiansui,DITIANSUI_CHANWEI,0.5,0.2
FAM-002,ziping,QIONGTONG_BAOJIAN,0.5,0.2
FAM-002,ziping,SANMING_TONGHUI,0.5,0.2
FAM-002,ziping,ZIPING_ZHENQUAN,0.5,0.2
FAM-003,tiaohou_ditiansui,DITIANSUI,0.5,0.2
FAM-003,tiaohou_ditiansui,DITIANSUI_CHANWEI,0.5,0.2
FAM-003,ziping,QIONGTONG_BAOJIAN,0.5,0.2
FAM-003,ziping,ZIPING_ZHENQUAN,0.5,0.2
FAM-004,tiaohou_ditiansui,DITIANSUI,0.5,0.2
FAM-004,tiaohou_ditiansui,DITIANSUI_CHANWEI,0.5,0.2
FAM-004,ziping,QIONGTONG_BAOJIAN,0.5,0.2
FAM-004,ziping,ZIPING_ZHENQUAN,0.5,0.2
FAM-005,tiaohou_ditiansui,DITIANSUI,0.5,0.2
FAM-005,tiaohou_ditiansui,DITIANSUI_CHANWEI,0.5,0.2
FAM-005,ziping,QIONGTONG_BAOJIAN,0.5,0.2
FAM-005,ziping,SANMING_TONGHUI,0.5,0.2
FAM-005,ziping,ZIPING_ZHENQUAN,0.5,0.2
FAM-006,tiaohou_ditiansui,DITIANSUI,0.5,0.2
FAM-006,tiaohou_ditiansui,DITIANSUI_CHANWEI,0.5,0.2
FAM-006,ziping,QIONGTONG_BAOJIAN,0.5,0.2
FAM-006,ziping,SANMING_TONGHUI,0.5,0.2
FAM-006,ziping,ZIPING_ZHENQUAN,0.5,0.2
FAM-007,tiaohou_ditiansui,DITIANSUI,0.5,0.2
FAM-007,tiaohou_ditiansui,DITIANSUI_CHANWEI,0.5,0.2
FAM-007,ziping,SANMING_TONGHUI,0.5,0.2
FAM-007,ziping,ZIPING_ZHENQUAN,0.5,0.2
FAM-008,tiaohou_ditiansui,DITIANSUI_CHANWEI,0.5,0.2
FAM-008,ziping,ZIPING_ZHENQUAN,0.5,0.2
FAM-009,tiaohou_ditiansui,DITIANSUI_CHANWEI,0.5,0.2
FAM-009,ziping,SANMING_TONGHUI,0.5,0.2
FAM-009,ziping,ZIPING_ZHENQUAN,0.5,0.2
FAM-010,tiaohou_ditiansui,DITIANSUI_CHANWEI,0.5,0.2
FAM-010,ziping,QIONGTONG_BAOJIAN,0.5,0.2
FAM-010,ziping,SANMING_TONGHUI,0.5,0.2
FAM-010,ziping,ZIPING_ZHENQUAN,0.5,0.2
FAM-011,tiaohou_ditiansui,DITIANSUI_CHANWEI,0.5,0.2
FAM-011,ziping,ZIPING_ZHENQUAN,0.5,0.2
FAM-012,tiaohou_ditiansui,DITIANSUI_CHANWEI,0.5,0.2
FAM-012,ziping,SANMING_TONGHUI,0.5,0.2
FAM-012,ziping,ZIPING_ZHENQUAN,0.5,0.2
FAM-013,tiaohou_ditiansui,DITIANSUI,0.5,0.2
FAM-013,tiaohou_ditiansui,DITIANSUI_CHANWEI,0.5,0.2
FAM-013,ziping,QIONGTONG_BAOJIAN,0.5,0.2
FAM-013,ziping,SANMING_TONGHUI,0.5,0.2
FAM-013,ziping,ZIPING_ZHENQUAN,0.5,0.2
FAM-014,tiaohou_ditiansui,DITIANSUI_CHANWEI,0.5,0.2
FAM-014,ziping,SANMING_TONGHUI,0.5,0.2
FAM-015,tiaohou_ditiansui,DITIANSUI_CHANWEI,0.5,0.2
FAM-015,ziping,QIONGTONG_BAOJIAN,0.5,0.2
FAM-015,ziping,ZIPING_ZHENQUAN,0.5,0.2
FAM-016,tiaohou_ditiansui,DITIANSUI_CHANWEI,0.5,0.2
FAM-016,ziping,QIONGTONG_BAOJIAN,0.5,0.2
FAM-017,tiaohou_ditiansui,DITIANSUI_CHANWEI,0.5,0.2
FAM-017,ziping,QIONGTONG_BAOJIAN,0.5,0.2
FAM-018,tiaohou_ditiansui,DITIANSUI_CHANWEI,0.5,0.2
FAM-018,ziping,QIONGTONG_BAOJIAN,0.5,0.2
FAM-019,tiaohou_ditiansui,DITIANSUI_CHANWEI,0.5,0.2
FAM-019,ziping,ZIPING_ZHENQUAN,0.5,0.2
FAM-020,tiaohou_ditiansui,DITIANSUI,0.5,0.2
FAM-020,tiaohou_ditiansui,DITIANSUI_CHANWEI,0.5,0.2
FAM-020,ziping,SANMING_TONGHUI,0.5,0.2
FAM-020,ziping,ZIPING_ZHENQUAN,0.5,0.2
