case_id,statement_id,rule_id,family_id,school,canon,rule_type,verdict,learnable,record_present,domain,year
C-2026-RF000345-乾-癸酉乙丑乙卯乙酉,S-RF000345-a63f61,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,其他,
C-2026-RF000345-乾-癸酉乙丑乙卯乙酉,S-RF000345-6ddb7c,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,
C-2026-RF000345-乾-癸酉乙丑乙卯乙酉,S-RF000345-6a264e,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,skip,false,true,健康,
C-2026-RF000345-乾-癸酉乙丑乙卯乙酉,S-RF000345-d915c9,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,其他,
C-2026-RF000345-乾-癸酉乙丑乙卯乙酉,S-RF000345-d84557,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,其他,
C-2026-RF000345-乾-癸酉乙丑乙卯乙酉,S-RF000345-eae13a,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,其他,
C-2026-RF000345-乾-癸酉乙丑乙卯乙酉,S-RF000345-d35f7e,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,健康,
C-2026-RF000345-乾-癸酉乙丑乙卯乙酉,S-RF000345-000cf8,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,skip,false,true,财运,
C-2026-RF000345-乾-癸酉乙丑乙卯乙酉,S-RF000345-c1c6f4,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,健康,
C-2026-RF000345-乾-癸酉乙丑乙卯乙酉,S-RF000345-8b1e76,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,健康,
C-2026-RF000345-乾-癸酉乙丑乙卯乙酉,S-RF000345-2d2576,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,财运,
C-2026-RF000345-乾-癸酉乙丑乙卯乙酉,S-RF000345-8bd9ff,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,其他,
C-2026-RF000345-乾-癸酉乙丑乙卯乙酉,S-RF000345-6dac63,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,财运,
C-2026-RF000345-乾-癸酉乙丑乙卯乙酉,S-RF000345-b21009,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,
C-2026-RF000345-乾-癸酉乙丑乙卯乙酉,S-RF000345-2a99e1,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,家庭,
C-2026-RF000345-乾-癸酉乙丑乙卯乙酉,S-RF000345-630105,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,财运,
C-2026-RF000345-乾-癸酉乙丑乙卯乙酉,S-RF000345-658402,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,财运,
C-2026-RF000345-乾-癸酉乙丑乙卯乙酉,S-RF000345-7304d7,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,skip,false,true,事业,
C-2026-RF000345-乾-癸酉乙丑乙卯乙酉,S-RF000345-1d310e,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,家庭,
